Agreement_id,Vendor_id,Bill_nbr,Bill_date,transacion_id,Bill_amount,Bill_credit_account,Bill_debit_account,sap_doc_nbr,posting_response_code,posting_timestamp,last_changed_user_id
1001,501,10011,2026-08-16,37889a19ad1544c9b7e1,158995.21,192325,258103,c2627978195c426181cd,0,2026-09-11 22:29:05,MOCKLOAD
1001,501,10012,2026-08-22,709bad8a6b394ba98bb3,124039.23,162231,279724,fbd3a8f6c55e4a8899db,0,2026-09-11 22:29:05,MOCKLOAD
1001,501,10013,2026-08-28,5bf3dcb6ad4e4abfa1a3,133361.88,117786,262587,6f3b4d4152994d1fa35f,0,2026-09-11 22:29:05,MOCKLOAD
1001,501,10014,2026-09-03,0ff8d905ec134376a10f,127092.18,133228,251549,c66b6831f05d488d87e2,0,2026-09-11 22:29:05,MOCKLOAD
1001,501,10015,2026-09-09,4e7dcbe2ce73444a8dad,139197.83,129464,262825,ca3d6c8d19b545f49246,0,2026-09-11 22:29:05,MOCKLOAD
1002,502,10021,2026-08-16,95c1478ea83c4f4a9b89,48830.04,107023,240645,83e4e38f34cc46b6a9a6,0,2026-09-11 22:29:05,MOCKLOAD
1002,502,10022,2026-08-22,6ec40df5244f4c3ab9a6,55353.88,107345,234537,6e51a1fb13494bd8b053,0,2026-09-11 22:29:05,MOCKLOAD
1002,502,10023,2026-08-28,734037c3ba1c45038372,52936.77,165676,220540,e98c4137afb44bd89f81,0,2026-09-11 22:29:05,MOCKLOAD
1002,502,10024,2026-09-03,2545ddae82ef4de98043,52791.81,114455,271358,024d2cea883f4269a56f,0,2026-09-11 22:29:05,MOCKLOAD
1002,502,10025,2026-09-09,d232082c8d09440ca0ac,43354.34,117116,207048,c71b0083dd054561a320,0,2026-09-11 22:29:05,MOCKLOAD
1003,503,10031,2026-08-16,e410959bc18a4cdb9ddc,81620.79,166088,275221,d3e1d9ce7bd74009a931,0,2026-09-11 22:29:05,MOCKLOAD
1003,503,10032,2026-08-22,315e8a2139044e58b569,54886.03,171068,285343,8a0a468ad9ea4a3a9e79,0,2026-09-11 22:29:05,MOCKLOAD
1003,503,10033,2026-08-28,74e0efa75cd240769774,64866.61,187704,202244,91d8bc82ed5f4a6090ff,0,2026-09-11 22:29:05,MOCKLOAD
1003,503,10034,2026-09-03,63e666c021304c2ab085,67945.93,158008,270616,64971ce504cf428ca6f7,0,2026-09-11 22:29:05,MOCKLOAD
1003,503,10035,2026-09-09,97692fee8ea54ac2a0fc,58709.05,167817,221380,d5765a918b3d4d75b86a,0,2026-09-11 22:29:05,MOCKLOAD
1004,504,10041,2026-08-16,7e7be16dd4674f8e8123,95510.32,103092,281283,c1b436b193be4fb18d52,0,2026-09-11 22:29:05,MOCKLOAD
1004,504,10042,2026-08-22,c4dd5994a60b49cab0a8,110830.53,121695,242926,a43782026899487bb2a3,0,2026-09-11 22:29:05,MOCKLOAD
1004,504,10043,2026-08-28,8e85e31ef5034b339507,104076.67,115625,260401,1ca37ae2a6c24558aa08,0,2026-09-11 22:29:05,MOCKLOAD
1004,504,10044,2026-09-03,1820b3cca42345ed9054,93592.56,164286,262234,b95eae0f60ab44de8f40,0,2026-09-11 22:29:05,MOCKLOAD
1004,504,10045,2026-09-09,c2ac99b35ac54b02803b,105055.26,113836,241435,ea57be0d7e7b4ea4987e,0,2026-09-11 22:29:05,MOCKLOAD
1005,505,10051,2026-08-16,15ef177ce25c4346b613,65162.16,119198,297456,275c470bd07b4349838d,0,2026-09-11 22:29:05,MOCKLOAD
1005,505,10052,2026-08-22,77f214644944427f94c9,78426.88,112621,284344,5ce77c89e57f42999c0c,0,2026-09-11 22:29:05,MOCKLOAD
1005,505,10053,2026-08-28,67c3b3ffe03649a699bf,77628.1,105290,236792,4e47a2ea446846ecaee0,0,2026-09-11 22:29:05,MOCKLOAD
1005,505,10054,2026-09-03,46ed5225df7b480e9c2a,60929.82,161757,291621,437ff1ba3f6a4a5d8713,0,2026-09-11 22:29:05,MOCKLOAD
1005,505,10055,2026-09-09,610e431021f14678bb3e,67092.41,190888,253172,6d30636ad4df4237b96b,0,2026-09-11 22:29:05,MOCKLOAD
1006,506,10061,2026-08-16,98009a85b6bd46f69763,109168.46,142598,294414,d1eb6af2171c427ab314,0,2026-09-11 22:29:05,MOCKLOAD
1006,506,10062,2026-08-22,77c625d7fdf44dbeb733,103573.48,181252,222014,798d4fc945304ef69e25,0,2026-09-11 22:29:05,MOCKLOAD
1006,506,10063,2026-08-28,56dd586bb505427bb7e5,78193.28,165542,271174,15c438d6dfe04932a6d9,0,2026-09-11 22:29:05,MOCKLOAD
1006,506,10064,2026-09-03,7754348f02e442488a32,98459.96,179111,238761,86875182c966423bb996,0,2026-09-11 22:29:05,MOCKLOAD
1006,506,10065,2026-09-09,af8f3efb3d454d25a18d,82969.15,199989,241257,70f9d736d293403ca94f,0,2026-09-11 22:29:05,MOCKLOAD
1007,507,10071,2026-08-16,9574b2d30c2a43999fdf,72821.84,126738,233573,09a807fbaa3d44d6a1ba,0,2026-09-11 22:29:05,MOCKLOAD
1007,507,10072,2026-08-22,feb9c3e4c75b4de78074,93469.97,103019,202342,fb91263336e14117840a,0,2026-09-11 22:29:05,MOCKLOAD
1007,507,10073,2026-08-28,a5580ea6abab4259b04c,69374.25,185676,218147,f570467bee4e462fa413,0,2026-09-11 22:29:05,MOCKLOAD
1007,507,10074,2026-09-03,7478e65987fa4cedb8a9,93234.99,113822,280832,3bc0bf0b07be4b78b205,0,2026-09-11 22:29:05,MOCKLOAD
1007,507,10075,2026-09-09,8d46a8a79149405c8551,80083.35,170285,205573,5fbfcd5424ee4bee8a88,0,2026-09-11 22:29:05,MOCKLOAD
1008,508,10081,2026-08-16,906a1acbd26648368f32,119200.88,134337,221511,a38a8f42950545f699bf,0,2026-09-11 22:29:05,MOCKLOAD
1008,508,10082,2026-08-22,66a1c06fac324ff3ae01,120881.02,151134,260266,492cf28279c946a6b69c,0,2026-09-11 22:29:05,MOCKLOAD
1008,508,10083,2026-08-28,3416b8a6c41345ec8198,145023.55,162873,214419,e90ffe2a491642ba984b,0,2026-09-11 22:29:05,MOCKLOAD
1008,508,10084,2026-09-03,c2e9aec20e8f468e8110,108920.54,115741,299796,b10ca0080dc34745a295,0,2026-09-11 22:29:06,MOCKLOAD
1008,508,10085,2026-09-09,c094c5ae116340a4b736,138317.09,165193,262895,2ac2185f99c444ea82b7,0,2026-09-11 22:29:06,MOCKLOAD
1009,509,10091,2026-08-16,a5f91f3cbf7b41249588,165295.26,163020,258418,ef9e659e1dc14a6b9a93,0,2026-09-11 22:29:06,MOCKLOAD
1009,509,10092,2026-08-22,49927e17d7d74e2cb802,147613.98,160502,293096,6af36d32bcba411cbfff,0,2026-09-11 22:29:06,MOCKLOAD
1009,509,10093,2026-08-28,0a28f35edc474141b14f,144232.45,135282,233638,dda0c4dd27a643e5947b,0,2026-09-11 22:29:06,MOCKLOAD
1009,509,10094,2026-09-03,17280006191b4912be4b,224479.96,114077,227379,512d84933aeb4ebda030,0,2026-09-11 22:29:06,MOCKLOAD
1009,509,10095,2026-09-09,5621206a82c948ff9a13,200348.14,167656,200742,f89857e94b9b4faba37c,0,2026-09-11 22:29:06,MOCKLOAD
1010,510,10101,2026-08-16,7785ed5da229474b9e7a,107779.15,188540,242578,621066207f1e4698835e,0,2026-09-11 22:29:06,MOCKLOAD
