Agreement_id,Jorunal_date,dept_nbr,Journal_store,transacion_id,Vendor_id,Journal_amount,Journal_credit_account,Journal_debit_account,posting_response_code,posting_timestamp,last_changed_iser_id
1001,2026-08-11,27,111,2782d419184741b4959d,501,727.12,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-12,16,120,9df1999a5d6343a2b0bb,501,826.69,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-13,14,113,af7642954f9c47afb013,501,2856.89,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-14,25,102,aa564adf82c24edcb591,501,4286.82,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-15,20,101,404e7375fed84830b2a2,501,5305.38,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-16,28,115,efa33afc199240ebb6cf,501,14.38,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-17,26,101,cb20a851b2e748ec9d8f,501,1505.11,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-18,23,110,74c10e7c76b240c684e8,501,6969.15,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-19,28,117,8c233f6f5d4e4b3683af,501,4522.24,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-20,24,116,d1ce4305eb244a459f02,501,7603.42,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-21,21,120,148a877bf486406987b0,501,1029.35,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-22,20,117,d3d49ad27d894775ac54,501,893.97,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-23,26,116,ef48ec52cbe442289e48,501,2340.08,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-24,27,118,afa3db134f1a404c8bd3,501,3728.45,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-25,26,102,fbf293c6e3ca426398d7,501,5532.38,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-26,12,120,de3d3c756b994ecd8610,501,4394.34,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-27,20,103,147aff09c30842608d54,501,2570.98,,,0,2026-09-11 22:29:06,MOCKLOAD
1001,2026-08-28,16,118,b181ec175d344e41b1b8,501,4508.39,,,0,2026-09-11 22:29:06,MOCKLOAD
